,titles,rates,reviews,review_id
14679,곡성(哭聲),9,스토리 탄탄하고 남주 연기 너무좋아요감상하실때 하얀속옷입고다니는 여자 주의깊게 보시길ㅎㅎㅍ ,paul****
14680,검은 사제들,10,연기력짱입니다  역시 강동원 ,paul****
14681,데드캠핑 더라이브,10,"Wavve 평점 9.67~??!!  만점을 못받았다는게 너무 이해하기 힘들다.남지현의 화려한 액션, 마치 현장에 있는듯한 긴장감 넘치는 영상, 거기에 반전에 반전으로 이어지는 예측할수없는 스토리때문에 런닝타임 내내 긴장을 늦출수없었다. 주연과 조연배우들 아니 모두 주연이다!!!  모든배우들이 최고의 연기를 보여준 작품이다. 세기의 명작 클레멘타인의 “ 명대",paul****
14682,데드캠핑 더라이브,10,"Wavve 평점 9.67~??!!  만점을 못받았다는게 너무 이해하기 힘들다.남지현의 화려한 액션, 마치 현장에 있는듯한 긴장감 넘치는 영상, 거기에 반전에 반전으로 이어지는 예측할수없는 스토리때문에 런닝타임 내내 긴장을 늦출수없었다. 주연과 조연배우들 아니 모두 주연이다!!!  모든배우들이 최고의 연기를 보여준 작품이다. 세기의 명작 클레멘타인의 “ 명대",paul****
14683,데드캠핑 더라이브,10,"Wavve 평점 9.67~??!!  만점을 못받았다는게 너무 이해하기 힘들다.남지현의 화려한 액션, 마치 현장에 있는듯한 긴장감 넘치는 영상, 거기에 반전에 반전으로 이어지는 예측할수없는 스토리때문에 런닝타임 내내 긴장을 늦출수없었다. 주연과 조연배우들 아니 모두 주연이다!!!  모든배우들이 최고의 연기를 보여준 작품이다. 세기의 명작 클레멘타인의 “ 명대",paul****
14684,늑대사냥,9,엔딩이 왜 거기서 끝나죠 스토리상 최소 1시간은 더 이어져야 할 것 같은데... 어쨌든 잔혹한 범죄물인척 하다가 갑자기 매우 웃긴 고어물이 되어서 난 즐거웠음 ,paul****
14685,삼진그룹 영어토익반,10,난 이런 스토리에 약해ㅜ ,paul****
14686,표적,1,뭐 이딴 스토리를 썼는지 망작영화 얘기하다 갑자기 생각났는데 무려 5년이 지났어도 어제일처럼 생생하게 빡쳐서 별점 1점주러 왔음. ,paul****
14687,고스트버스터즈,10,이런 꿀을 여태 남자들끼리만 빨고 살았다니 매우 화가 나는군요. 스토리가 넘사벽급 우월이면 스토리빨인갑다 했을건데 아님ㅋㅋㅋ 주연이 여성인것만으로 몰입 이렇게까지 심하게 오를줄 몰랐음ㅋㅋㅋ 번창하십시오.. ,paul****
14688,맨 오브 스틸,10,개봉하자마자 디지털로 한 번 보고 너무 좋아서 밥먹고 3D로 또 보고왔어요 ㅋㅋㅋㅋ 3D도 진짜 좋긴했는데 오히려 화면이 선명한 2D도 괜찮네요. 1시간 30분간 지루했지만...  마지막 30분이 정말 역사에 남을 액션임ㅋㅋㅋㅋ ,paul****
14689,풀타임,7,,paul****
14690,사랑은 비를 타고,10,,paul****
14691,미니언즈2,9,,paul****
14692,외계+인 1부,7,,paul****
14693,썸머 필름을 타고!,6,,paul****
14694,헌트,8,,paul****
14695,비상선언,8,,paul****
14696,한산: 용의 출현,9,,paul****
14697,큐어,10,마스터피스. 흡입력이 어마무시. ,paul****
14698,올드보이,10,,haik****
14699,샹치와 텐 링즈의 전설,9,,haik****
14700,쥬라기 월드: 도미니언,7,마지막이란게 아쉽다 무척 ,haik****
14701,브로커,7,잔잔한 작은 울림. 이 세계를 살아가는 이유 ,haik****
14702,탑건: 매버릭,10,올해 최고의 블록버스터. 아바타가 이길 수 있을까? ,haik****
14703,니얼굴,10,공감가는 스토리 ,haik****
14704,박쥐,8,여윽시 박찬욱 ,haik****
14705,샹치와 텐 링즈의 전설,9,,haik****
14706,쥬라기 월드: 도미니언,7,마지막이란게 아쉽다 무척 ,haik****
14707,브로커,7,잔잔한 작은 울림. 이 세계를 살아가는 이유 ,haik****
14708,탑건: 매버릭,10,올해 최고의 블록버스터. 아바타가 이길 수 있을까? ,haik****
14709,니얼굴,10,공감가는 스토리 ,haik****
14710,박쥐,8,여윽시 박찬욱 ,haik****
14711,늑대사냥,10,카터도 잔인하다 생각했는데 이거에 비하면 동화였군요처음부터 끝까지 내장파티에 피바다는 본적이 없어서 속이 안좋으면서도 지루할  틈 없이 러닝타임이 빨리 갔어요.. 댓글에 보면 마녀 얘기 많이 나오는데 저도 공감이요..10점까진 아니나 5점대는 더 아닌거 같아 10점 드리지만 7점대가 적당하다고 봐요정말 잔인하다못해 한국에서도 이런게 나왔구나라는 생각이 동시,haik****
14712,마녀(魔女) Part2. The Other One,10,이터널스보다 백만배 재밌습니다. ,haik****
14713,삼진그룹 영어토익반,10,감독이 아저씨에서 형사로 나왔던 분이네 개미굴 할머니 안테 소미어딨냐고 껌 짝짝 씹으면서말했던 형사 ㅋㅋ ,haik****
14714,늑대사냥,5,아무 의미없이 캐릭터가 소모되는 영화 ,haik****
14715,킹메이커,7,몰랐던 현대사 공부하기 좋은듯. 심리묘사가 뛰어나다 ,haik****
14716,공조2: 인터내셔날,8,현빈과 다니엘헤니의 화보집. 명절에 가볍게 즐기기 좋은 영화 ,haik****
14717,헌트,8,이형 감독도 잘하시네.. ,haik****
14718,브로커,6,너무 기대를 많이했나.. ,fres****
14719,한산: 용의 출현,7,이전작보단 확실히 보완한듯하다 ,fres****
14720,"힘을 내요, 미스터 리",5,좀 더 힘을 내지..ㅠㅠ ,lady****
14721,비상선언,5,"배우들 연기는 좋았지만 후반부로 갈수록 한숨이 나왔으며, 이럴거면 긴 러닝타임이 무슨 의미가 있는지 싶었다. ",lady****
14722,집으로 가는 길,6,전도연 연기는 끝내줬다. ,lady****
14723,외계+인 1부,8,이집 짬뽕맛 특이하네.. ,lady****
14724,토르: 러브 앤 썬더,7,기대감에 비해 그저 그랬음 ,lady****
14725,헤어질 결심,7,"어떤 사랑은 슬픔이 파도처럼 밀려오고,어떤 사랑은 슬픔이 잉크처럼 천천히 번져 붕괴시킨다. ",lady****
14726,탑건: 매버릭,9,톰 크루즈가 왜 최고의 스타인지 이유가 되는 영화 ,paul****
14727,마녀(魔女) Part2. The Other One,8,개연성은 좀 부족하지만 액션이 1편에 비해 나아진듯 ,paul****
14728,아델라인 : 멈춰진 시간,6,뭔소리야 말 같지도 않은 소리 하고있어 ,paul****
14729,쥬라기 월드: 도미니언,7,어릴적 좋아했던 시리즈의 마지막 ,paul****
14730,007 노 타임 투 다이,7,초반만 흥미진진했다. ,paul****
14731,범죄도시2,8,중간중간 웃기고 타격감 시원하고 ,paul****
14732,모비우스,5,매력없는 히어로물이다. ,paul****
14733,신비한 동물들과 덤블도어의 비밀,7,해리포터 시리즈에 비해 턱없이 부족하다. ,paul****
14734,토르: 러브 앤 썬더,7,기대감에 비해 그저 그랬음 ,paul****
14735,헤어질 결심,7,"어떤 사랑은 슬픔이 파도처럼 밀려오고,어떤 사랑은 슬픔이 잉크처럼 천천히 번져 붕괴시킨다. ",paul****
14736,탑건: 매버릭,9,톰 크루즈가 왜 최고의 스타인지 이유가 되는 영화 ,paul****
14737,마녀(魔女) Part2. The Other One,8,개연성은 좀 부족하지만 액션이 1편에 비해 나아진듯 ,paul****
14738,아델라인 : 멈춰진 시간,6,뭔소리야 말 같지도 않은 소리 하고있어 ,paul****
14739,쥬라기 월드: 도미니언,7,어릴적 좋아했던 시리즈의 마지막 ,paul****
14740,007 노 타임 투 다이,7,초반만 흥미진진했다. ,paul****
14741,범죄도시2,8,중간중간 웃기고 타격감 시원하고 ,paul****
14742,모비우스,5,매력없는 히어로물이다. ,paul****
14743,신비한 동물들과 덤블도어의 비밀,7,해리포터 시리즈에 비해 턱없이 부족하다. ,paul****
14744,늑대사냥,10,카터도 잔인하다 생각했는데 이거에 비하면 동화였군요처음부터 끝까지 내장파티에 피바다는 본적이 없어서 속이 안좋으면서도 지루할  틈 없이 러닝타임이 빨리 갔어요.. 댓글에 보면 마녀 얘기 많이 나오는데 저도 공감이요..10점까진 아니나 5점대는 더 아닌거 같아 10점 드리지만 7점대가 적당하다고 봐요정말 잔인하다못해 한국에서도 이런게 나왔구나라는 생각이 동시,paul****
14745,마녀(魔女) Part2. The Other One,10,이터널스보다 백만배 재밌습니다. ,paul****
14746,삼진그룹 영어토익반,10,감독이 아저씨에서 형사로 나왔던 분이네 개미굴 할머니 안테 소미어딨냐고 껌 짝짝 씹으면서말했던 형사 ㅋㅋ ,paul****
14747,늑대사냥,5,아무 의미없이 캐릭터가 소모되는 영화 ,paul****
